DAILY_STRESS,AGE,GENDER,SLEEP_HOURS
4.0,20 or less,Male,9
3.0,20 or less,Female,4
4.0,20 or less,Male,3
3.0,20 or less,Male,9
2.0,20 or less,Male,1
5.0,20 or less,Male,8
5.0,20 or less,Male,9
1.0,20 or less,Male,3
0.0,51 or more,Female,1
1.0,20 or less,Male,4
5.0,20 or less,Male,1
0.0,20 or less,Male,1
0.0,21 to 35,Female,6
5.0,36 to 50,Male,9
0.0,51 or more,Male,5
4.0,36 to 50,Female,3
5.0,21 to 35,Male,4
5.0,21 to 35,Male,1
3.0,51 or more,Male,4
3.0,20 or less,Male,1
0.0,20 or less,Male,5
2.0,21 to 35,Male,2
0.0,21 to 35,Female,9
4.0,51 or more,Female,3
0.0,20 or less,Female,9
3.0,36 to 50,Female,4
5.0,51 or more,Male,3
2.0,21 to 35,Female,4
3.0,51 or more,Male,3
4.0,36 to 50,Male,2
2.0,51 or more,Male,10
5.0,21 to 35,Female,1
1.0,21 to 35,Male,10
3.0,20 or less,Female,5
1.0,51 or more,Male,4
1.0,51 or more,Male,10
5.0,36 to 50,Male,3
0.0,20 or less,Female,6
0.0,20 or less,Female,3
0.0,20 or less,Female,8
0.0,20 or less,Female,7
5.0,51 or more,Male,9
3.0,51 or more,Female,2
0.0,20 or less,Male,3
4.0,51 or more,Female,10
2.0,20 or less,Male,4
3.0,20 or less,Female,1
3.0,20 or less,Male,3
0.0,20 or less,Male,4
0.0,21 to 35,Male,4
0.0,51 or more,Male,9
2.0,51 or more,Male,5
5.0,20 or less,Female,3
4.0,36 to 50,Female,1
2.0,51 or more,Female,10
2.0,36 to 50,Male,2
3.0,51 or more,Male,9
2.0,36 to 50,Male,4
2.0,20 or less,Female,3
1.0,36 to 50,Female,10
2.0,51 or more,Female,3
3.0,51 or more,Female,3
2.0,36 to 50,Male,3
4.0,20 or less,Female,2
1.0,36 to 50,Female,3
3.0,36 to 50,Male,3
5.0,36 to 50,Female,1
5.0,20 or less,Male,2
5.0,51 or more,Male,1
2.0,21 to 35,Male,3
5.0,51 or more,Female,2
0.0,36 to 50,Male,4
4.0,21 to 35,Female,2
3.0,36 to 50,Male,2
,21 to 35,Male,6
1.0,20 or less,Male,2
3.0,51 or more,Female,4
3.0,21 to 35,Male,3
2.0,36 to 50,Female,3
4.0,36 to 50,Male,10
2.0,20 or less,Male,3
1.0,36 to 50,Male,4
5.0,36 to 50,Female,3
2.0,20 or less,Female,4
3.0,20 or less,Female,3
2.0,36 to 50,Female,1
5.0,21 to 35,Female,2
3.0,21 to 35,Female,1
5.0,36 to 50,Male,2
1.0,21 to 35,Female,2
2.0,21 to 35,Female,3
3.0,21 to 35,Female,3
